# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1608633694
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./vaccine_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,VE,theta
-10.5683,0.359709,0.25,2,7,0,40.4733,0.86023,0.12263
-10.5683,0,4.49091,0,1,1,10.8807,0.86023,0.12263
-10.7487,0.913313,0.537509,2,3,0,10.7829,0.876972,0.10955
-12.0607,0.625034,0.496353,1,1,0,12.0792,0.91936,0.0746225
-11.8306,1,0.242378,2,3,0,12.0831,0.914676,0.0786162
-10.5578,1,0.37427,2,3,0,11.5399,0.824874,0.149027
-10.5221,1,0.631887,1,1,0,10.5284,0.850699,0.129906
-11.3643,0.179958,1.12488,1,1,0,12.4369,0.902944,0.0884693
-10.5101,0.998142,0.15692,2,7,0,11.4125,0.84136,0.136919
-11.0463,0.879825,0.287538,1,3,0,11.5005,0.892043,0.0974376
-10.5471,0.919948,0.368286,2,3,0,11.4191,0.827015,0.147474
-10.5372,1,0.539954,1,1,0,10.5594,0.829292,0.145816
-10.5372,0.157794,1.0226,1,1,0,10.7489,0.829292,0.145816
-10.5475,0.999279,0.137924,3,7,0,10.5797,0.82694,0.147529
-10.6118,0.958223,0.262849,1,3,0,10.9317,0.865655,0.118434
-10.5119,0.999386,0.439114,1,3,0,10.5746,0.845762,0.133628
-10.947,0.58942,0.82874,1,1,0,11.1456,0.887782,0.100896
-10.8856,1,0.44372,2,3,0,11.4107,0.884833,0.103273
-10.5428,1,0.83335,1,1,0,10.5563,0.827972,0.146778
-10.5428,5.37149e-11,1.55095,1,1,0,11.0681,0.827972,0.146778
-10.9556,0.956456,0.14501,1,3,0,11.8331,0.78484,0.177063
-10.5165,1,0.238593,2,3,0,10.8996,0.836071,0.140841
-10.6287,0.937679,0.442587,2,3,0,10.7399,0.867402,0.117074
-10.6021,1,0.678131,1,3,0,10.6025,0.817732,0.154168
-10.6021,6.39591e-07,1.2348,1,1,0,11.0806,0.817732,0.154168
-10.5925,1,0.127844,1,1,0,10.602,0.819115,0.153178
-10.5104,0.990599,0.233815,2,5,0,10.7044,0.843997,0.13495
-10.6134,0.973303,0.412307,1,3,0,10.6191,0.865818,0.118307
-10.6134,0.000148124,0.686327,1,1,0,11.349,0.865818,0.118307
-10.5138,0.998852,0.0770885,3,9,0,10.8772,0.837567,0.139735
-11.0467,0.983,0.13839,2,7,0,11.2049,0.892059,0.0974248
-10.9876,1,0.235678,1,1,0,11.066,0.889591,0.0994313
-12.3346,0.773006,0.416509,1,3,0,12.7386,0.712742,0.223155
-12.3346,0.000204744,0.397647,1,1,0,17.2048,0.712742,0.223155
-11.6023,0.997884,0.048992,2,5,0,12.8043,0.746702,0.202105
-10.585,0.994315,0.0859906,3,11,0,12.3847,0.862506,0.120874
-10.7193,0.991418,0.148197,1,3,0,10.8498,0.874952,0.111149
-10.6199,0.964901,0.251329,3,7,0,11.3659,0.866502,0.117775
-10.5637,1,0.394901,2,3,0,10.6018,0.823774,0.149823
-10.5637,0.118277,0.673846,1,1,0,11.0817,0.823774,0.149823
-10.5894,0.998895,0.122564,2,3,0,10.6033,0.819578,0.152846
-10.5102,0.98977,0.208673,1,3,0,10.7408,0.843646,0.135213
-10.6202,0.972874,0.344536,1,3,0,10.6485,0.8153,0.155904
-12.4178,0.175534,0.54154,2,3,0,12.5169,0.925666,0.0691905
-10.7146,0.989879,0.119243,2,7,0,13.8414,0.874612,0.111417
-10.6614,1,0.195535,2,3,0,10.7111,0.870412,0.114722
-12.9556,0.71469,0.326278,1,3,0,13.7112,0.933556,0.0623041
-10.5178,0.992871,0.272117,3,7,0,12.8732,0.835447,0.141301
-10.5178,0.606062,0.442157,1,1,0,11.0458,0.835447,0.141301
-10.5451,0.996124,0.28502,2,3,0,10.5577,0.827442,0.147164
-10.5358,0.977471,0.463408,2,3,0,10.603,0.854429,0.127073
-10.5358,0.494691,0.716544,1,1,0,10.6068,0.854429,0.127073
-10.5378,0.999498,0.35833,1,1,0,10.544,0.854876,0.126732
-11.1651,0.609428,0.58057,1,1,0,11.2085,0.771004,0.186327
-10.6174,0.991321,0.381666,2,3,0,11.346,0.866251,0.117971
-10.6492,0.9939,0.602886,1,3,0,10.6525,0.811733,0.158438
-11.5105,0.108769,0.952369,1,1,0,13.4284,0.751455,0.199068
-11.4619,1,0.203495,2,3,0,11.5964,0.754038,0.197408
-10.5331,0.983292,0.32616,2,3,0,11.6513,0.853784,0.127564
-10.5118,0.880431,0.50076,2,3,0,10.7058,0.839038,0.138645
-10.5118,0.510907,0.609109,1,1,0,10.8825,0.839038,0.138645
-10.6738,0.972947,0.327828,2,3,0,10.7335,0.808962,0.160396
-10.9016,0.825579,0.488197,2,3,0,11.1633,0.885629,0.102633
-10.9016,0.0575285,0.525204,1,1,0,12.3178,0.885629,0.102633
-10.5633,0.99775,0.107263,2,7,0,11.1695,0.85948,0.123207
-10.5498,0.986916,0.168355,3,7,0,11.1749,0.826447,0.147887
-10.5276,1,0.256862,3,7,0,10.5487,0.852376,0.128635
-10.5103,0.997263,0.401028,2,3,0,10.5422,0.843798,0.135099
-10.5103,0.69666,0.619402,1,1,0,10.6968,0.843798,0.135099
-12.0706,0.522459,0.505995,1,3,0,12.1006,0.919551,0.0744588
-10.7501,1,0.287732,2,3,0,11.9987,0.877069,0.109473
-10.71,1,0.444522,1,1,0,10.8028,0.874275,0.111684
-10.71,4.85726e-06,0.683551,1,1,0,11.5896,0.874275,0.111684
-10.714,0.999879,0.133521,1,1,0,10.7187,0.874565,0.111455
