ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,1/19/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1344
Trump,1/19/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,7727
Biden,1/19/2024 12:00:00 AM,$0.42,$0.44,$0.42,$0.43,6944
Harris,1/19/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1904
Buttigieg,1/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,1/19/2024 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,6753
Ramaswamy,1/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1000
Scott,1/19/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,700
RFK Jr.,1/19/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,2791
Haley,1/19/2024 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,3170
DeSantis,1/20/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2803
Trump,1/20/2024 12:00:00 AM,$0.47,$0.47,$0.45,$0.46,14820
Biden,1/20/2024 12:00:00 AM,$0.43,$0.45,$0.43,$0.44,4748
Harris,1/20/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,416
Buttigieg,1/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,1/20/2024 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,1843
Ramaswamy,1/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,335
Scott,1/20/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,1/20/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1929
Haley,1/20/2024 12:00:00 AM,$0.06,$0.07,$0.05,$0.06,8580
DeSantis,1/21/2024 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,75209
Trump,1/21/2024 12:00:00 AM,$0.46,$0.47,$0.44,$0.46,16642
Biden,1/21/2024 12:00:00 AM,$0.44,$0.47,$0.43,$0.45,20690
Harris,1/21/2024 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,2451
Buttigieg,1/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Newsom,1/21/2024 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,10608
Ramaswamy,1/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8664
Scott,1/21/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
RFK Jr.,1/21/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,6442
Haley,1/21/2024 12:00:00 AM,$0.06,$0.09,$0.04,$0.07,25381
DeSantis,1/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3799
Trump,1/22/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,12357
Biden,1/22/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.45,10997
Harris,1/22/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1812
Buttigieg,1/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Newsom,1/22/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,5486
Ramaswamy,1/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,1/22/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,1/22/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,8714
Haley,1/22/2024 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,9524
DeSantis,1/23/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,11298
Trump,1/23/2024 12:00:00 AM,$0.47,$0.47,$0.45,$0.46,23860
Biden,1/23/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.47,22257
Harris,1/23/2024 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,6197
Buttigieg,1/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Newsom,1/23/2024 12:00:00 AM,$0.04,$0.09,$0.04,$0.06,22738
Ramaswamy,1/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1110
Scott,1/23/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
RFK Jr.,1/23/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,2672
Haley,1/23/2024 12:00:00 AM,$0.05,$0.06,$0.03,$0.05,17523
DeSantis,1/24/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4698
Trump,1/24/2024 12:00:00 AM,$0.46,$0.48,$0.45,$0.48,20303
Biden,1/24/2024 12:00:00 AM,$0.47,$0.48,$0.46,$0.47,20183
